name,taxid,total_length,total_gap_length,scaffold_count,scaffold_N50,contig_count,contig_N50
GCF_000008165.1,260799,5228663,0,0,0,0,0
GCF_000008185.1,243275,2843201,0,0,0,0,0
GCF_000008205.1,262719,897405,0,0,0,0,0
GCF_000008225.1,262722,920079,0,0,0,0,0
GCF_000008245.1,262723,799476,0,0,0,0,0
GCF_000008265.1,263820,1545895,0,0,0,0,0
GCF_000008285.1,265669,2905187,0,0,0,0,0
GCF_000008305.1,265311,793224,0,0,0,0,0
GCF_000008325.1,243233,3304561,0,0,0,0,0
GCF_000008345.1,267747,2560265,0,0,0,0,0
GCF_000008365.1,267748,777079,0,0,0,0,0
GCF_000008385.1,292805,1080084,0,0,0,0,0
GCF_000008405.1,295358,892758,0,0,0,0,0
GCF_000008425.1,279010,4222645,0,0,0,0,0
GCF_000008445.1,261594,5503926,0,0,0,0,0
GCF_000008465.1,283942,2839318,0,0,0,0,0
GCF_000008485.1,272624,3397754,0,0,0,0,0
GCF_000008505.1,281309,5314794,0,0,0,0,0
GCF_000008525.1,85962,1667867,0,0,0,0,0
GCF_000008545.1,243274,1860725,0,0,0,0,0
GCF_000008565.1,243230,3284156,0,0,0,0,0
GCF_000008585.1,83331,4403837,0,0,0,0,0
GCF_000008625.1,224324,1590791,0,0,0,0,0
GCF_000008645.1,187420,1751377,0,0,0,0,0
GCF_000008665.1,224325,2178400,0,0,0,0,0
GCF_000008685.2,224326,1521208,0,0,0,0,0
GCF_000008725.1,272561,1042519,0,0,0,0,0
GCF_000008745.1,115713,1230230,0,0,0,0,0
GCF_000008765.1,272562,4132880,0,0,0,0,0
GCF_000008785.1,85963,1643831,0,0,0,0,0
GCF_000008805.1,122586,2272360,0,0,0,0,0
GCF_000008865.1,386585,5594477,0,0,0,0,0
GCF_000008885.1,36870,703004,0,0,0,0,0
GCF_000008925.1,362948,2133977,0,0,0,0,0
GCF_000008945.1,205913,2389526,0,0,0,0,0
GCF_000008985.1,177416,1892775,0,0,0,0,0
GCF_000009005.1,273036,2742531,0,0,0,0,0
GCF_000009025.1,255470,1395502,0,0,0,0,0
GCF_000009045.1,224308,4215606,0,0,0,0,0
GCF_000009065.1,214092,4829855,0,0,0,0,0
GCF_000009085.1,192222,1641481,0,0,0,0,0
GCF_000009105.1,122587,2184406,0,0,0,0,0
GCF_000009125.1,267608,5810922,0,0,0,0,0
GCF_000009145.1,228410,2812094,0,0,0,0,0
GCF_000009165.1,316273,5420152,0,0,0,0,0
GCF_000009185.1,362976,3179361,0,0,0,0,0
GCF_000009205.1,272563,4298133,0,0,0,0,0
GCF_000009225.2,216595,6722539,0,0,0,0,0
GCF_000009245.1,376619,1895994,0,0,0,0,0
GCF_000009265.1,216596,7751309,0,0,0,0,0
GCF_000009285.1,381666,7416678,0,0,0,0,0
GCF_000009305.1,382638,1557588,0,0,0,0,0
GCF_000009325.1,393115,1892616,0,0,0,0,0
GCF_000009345.1,393305,4683620,0,0,0,0,0
GCF_000009365.1,393595,3120143,0,0,0,0,0
GCF_000009385.1,160491,1841271,0,0,0,0,0
GCF_000009405.1,396513,2566424,0,0,0,0,0
GCF_000009425.1,416870,2529478,0,0,0,0,0
GCF_000009445.1,410289,4374522,0,0,0,0,0
GCF_000009465.1,272831,2194961,0,0,0,0,0
GCF_000009485.1,216591,8055782,0,0,0,0,0
GCF_000009505.1,550537,4685848,0,0,0,0,0
GCF_000009525.1,550538,4658697,0,0,0,0,0
GCF_000009545.1,218495,1852352,0,0,0,0,0
GCF_000009565.1,469008,4558947,0,0,0,0,0
GCF_000009585.1,523796,2885367,0,0,0,0,0
GCF_000009605.1,107806,655725,0,0,0,0,0
GCF_000009625.1,266835,7596297,0,0,0,0,0
GCF_000009645.1,158879,2839469,0,0,0,0,0
GCF_000009665.1,158878,2903636,0,0,0,0,0
GCF_000009685.1,195102,3085740,0,0,0,0,0
GCF_000009705.1,103690,7211789,0,0,0,0,0
GCF_000009725.1,1148,3947019,0,0,0,0,0
GCF_000009745.1,196600,5260086,0,0,0,0,0
GCF_000009765.2,227882,9119895,0,0,0,0,0
GCF_000009785.1,235909,3592666,0,0,0,0,0
GCF_000009805.1,247156,6292344,0,0,0,0,0
GCF_000009825.1,66692,4303871,0,0,0,0,0
GCF_000009845.1,262768,853092,0,0,0,0,0
GCF_000009865.1,279808,2697861,0,0,0,0,0
GCF_000009885.1,484021,5472672,0,0,0,0,0
GCF_000009905.1,292459,3566135,0,0,0,0,0
GCF_000009925.1,295405,5310990,0,0,0,0,0
GCF_000009945.1,264202,1173791,0,0,0,0,0
GCF_000009965.1,69014,2088737,0,0,0,0,0
GCF_000009985.1,342108,4967148,0,0,0,0,0
GCF_000010005.1,557433,2039414,0,0,0,0,0
GCF_000010025.1,342109,4940217,0,0,0,0,0
GCF_000010045.1,138119,5727534,0,0,0,0,0
GCF_000010065.1,269084,2696255,0,0,0,0,0
GCF_000010085.1,343509,4292502,0,0,0,0,0
GCF_000010105.1,234621,6895538,0,0,0,0,0
GCF_000010125.1,342451,2577899,0,0,0,0,0
GCF_000010145.1,334390,2098685,0,0,0,0,0
GCF_000010165.1,358681,6296436,0,0,0,0,0
GCF_000010185.1,334413,1986740,0,0,0,0,0
GCF_000010205.1,334380,2008987,0,0,0,0,0
GCF_000010225.1,340322,3363299,0,0,0,0,0
GCF_000010245.2,316407,4646332,0,0,0,0,0
GCF_000010265.1,583346,3955303,0,0,0,0,0
GCF_000010285.1,378753,2697540,0,0,0,0,0
GCF_000010305.1,379066,4636964,0,0,0,0,0
GCF_000010325.1,387092,1877931,0,0,0,0,0
GCF_000010345.1,387093,2562277,0,0,0,0,0
GCF_000010385.1,409438,5155626,0,0,0,0,0
GCF_000010405.1,412965,1022154,0,0,0,0,0
GCF_000010425.1,367928,2089645,0,0,0,0,0
GCF_000010445.1,418127,2880168,0,0,0,0,0
GCF_000010465.1,426430,2878897,0,0,0,0,0
GCF_000010485.1,431946,4839683,0,0,0,0,0
GCF_000010505.1,431947,2354886,0,0,0,0,0
GCF_000010525.1,438753,5369772,0,0,0,0,0
GCF_000010545.1,395019,7008810,0,0,0,0,0
GCF_000010585.1,458233,2219737,0,0,0,0,0
GCF_000010605.1,455632,8545929,0,0,0,0,0
GCF_000010625.1,449447,5842795,0,0,0,0,0
GCF_000010645.1,511995,1224919,0,0,0,0,0
GCF_000010665.1,573370,5315620,0,0,0,0,0
GCF_000010685.1,561275,4371711,0,0,0,0,0
GCF_000010705.1,486410,2106340,0,0,0,0,0
GCF_000010725.1,137722,7599738,0,0,0,0,0
GCF_000010745.1,585395,5524860,0,0,0,0,0
GCF_000010765.1,585396,5766081,0,0,0,0,0
GCF_000010785.1,608538,1743135,0,0,0,0,0
GCF_000010805.1,632772,8834939,0,0,0,0,0
GCF_000010825.1,634452,3340249,0,0,0,0,0
GCF_000010845.1,634453,3339669,0,0,0,0,0
GCF_000010865.1,634454,3338426,0,0,0,0,0
GCF_000010885.1,634455,3339649,0,0,0,0,0
GCF_000010905.1,634456,3339683,0,0,0,0,0
GCF_000010925.1,634457,3337040,0,0,0,0,0
GCF_000010945.1,634458,3247995,0,0,0,0,0
GCF_000010965.1,634459,3336990,0,0,0,0,0
GCF_000010985.1,639282,2542933,0,0,0,0,0
GCF_000011025.1,680646,2264603,0,0,0,0,0
GCF_000011045.1,568703,3005051,0,0,0,0,0
GCF_000011065.1,226186,6293399,0,0,0,0,0
GCF_000011085.1,272569,4274642,0,0,0,0,0
GCF_000011105.1,70601,1738505,0,0,0,0,0
GCF_000011145.1,272558,4202352,0,0,0,0,0
GCF_000011165.1,138677,1226565,0,0,0,0,0
GCF_000011185.1,273116,1584804,0,0,0,0,0
GCF_000011205.1,273063,2694756,0,0,0,0,0
GCF_000011225.1,272633,1358633,0,0,0,0,0
GCF_000011245.1,221109,3630528,0,0,0,0,0
GCF_000011265.1,196620,2820462,0,0,0,0,0
GCF_000011285.1,193567,1894275,0,0,0,0,0
GCF_000011305.1,196164,3219505,0,0,0,0,0
GCF_000011325.1,196627,3309401,0,0,0,0,0
GCF_000011345.1,197221,2593857,0,0,0,0,0
GCF_000011365.1,224911,9105828,0,0,0,0,0
GCF_000011385.1,251221,4659019,0,0,0,0,0
GCF_000011405.1,393011,1895727,0,0,0,0,0
GCF_000011445.1,272632,1211703,0,0,0,0,0
GCF_000011465.1,59919,1657990,0,0,0,0,0
GCF_000011485.1,74547,2410873,0,0,0,0,0
GCF_000011505.1,282458,2902619,0,0,0,0,0
GCF_000011525.1,282459,2820454,0,0,0,0,0
GCF_000011545.1,272560,7247547,0,0,0,0,0
GCF_000011565.1,264201,2414465,20,0,0,2,2085025
GCF_000011585.1,267377,1661137,0,0,0,0,0
GCF_000011605.1,218491,5064019,0,0,0,0,0
GCF_000011625.1,288681,5843235,0,0,0,0,0
GCF_000011645.1,279010,4222597,0,0,0,0,0
GCF_000011665.1,286636,1899877,0,0,0,0,0
GCF_000011685.1,290633,2922384,0,0,0,0,0
GCF_000011705.1,243160,5835527,0,0,0,0,0
GCF_000011725.1,290847,1589954,0,0,0,0,0
GCF_000011745.1,291272,791654,0,0,0,0,0
GCF_000011765.3,293653,1838562,0,0,0,0,0
GCF_000011785.1,205914,2012878,0,0,0,0,0
GCF_000011805.1,312309,4273718,0,0,0,0,0
GCF_000011825.1,264199,1796846,0,0,0,0,0
GCF_000011845.1,299768,1796226,0,0,0,0,0
GCF_000011865.1,195099,1777831,0,0,0,0,0
GCF_000011885.1,295319,4585229,0,0,0,0,0
GCF_000011905.1,243164,1469720,0,0,0,0,0
GCF_000011925.1,176279,2643840,0,0,0,0,0
GCF_000011945.1,234826,1197687,0,0,0,0,0
GCF_000011965.2,246200,4601048,0,0,0,0,0
GCF_000011985.1,272621,1993560,0,0,0,0,0
GCF_000012005.1,300267,4560911,0,0,0,0,0
GCF_000012025.1,300268,4646520,0,0,0,0,0
GCF_000012045.1,93062,2813862,0,0,0,0,0
GCF_000012065.2,314723,1066225,0,0,0,11,922307
GCF_000012085.1,314724,917330,0,0,0,0,0
GCF_000012105.1,314565,5148708,0,0,0,0,0
GCF_000012125.1,315277,1051969,0,0,0,0,0
GCF_000012145.1,315456,1587240,0,0,0,0,0
GCF_000012165.1,319701,1897573,0,0,0,0,0
GCF_000012185.1,281310,1914490,0,0,0,0,0
GCF_000012205.1,264730,6112448,0,0,0,0,0
GCF_000012225.1,322098,723970,0,0,0,0,0
GCF_000012245.1,205918,6093698,0,0,0,0,0
GCF_000012265.1,220664,7074893,0,0,0,0,0
GCF_000012285.1,330779,2225959,0,0,0,0,0
GCF_000012305.1,259536,2650701,0,0,0,0,0
GCF_000012325.1,167879,5373180,0,0,0,0,0
GCF_000012345.1,335992,1308759,0,0,0,0,0
GCF_000012365.1,271848,6723972,0,0,0,0,0
GCF_000012385.1,336407,1522076,0,0,0,0,0
GCF_000012405.1,269800,3642249,0,0,0,0,0
GCF_000012425.1,159087,4501104,0,0,0,0,0
GCF_000012445.1,205922,6438405,0,0,0,0,0
GCF_000012465.1,59920,1842899,0,0,0,0,0
GCF_000012485.1,319225,2364842,0,0,0,0,0
GCF_000012505.1,316279,2234828,0,0,0,0,0
GCF_000012525.1,1140,2742269,0,0,0,0,0
GCF_000012545.1,339860,1767403,0,0,0,0,0
GCF_000012565.1,269484,1315030,0,0,0,0,0
GCF_000012585.1,340177,2572079,0,0,0,0,0
GCF_000012605.1,317025,2427734,0,0,0,0,0
GCF_000012625.1,110662,2510659,0,0,0,0,0
GCF_000012645.1,74546,1709204,0,0,0,0,0
GCF_000012665.1,207559,3730232,0,0,0,0,0
GCF_000012685.1,246197,9139763,0,0,0,0,0
GCF_000012705.1,205921,2127839,0,0,0,0,0
GCF_000012725.1,323098,3402093,0,0,0,0,0
GCF_000012745.1,292415,2909809,0,0,0,0,0
GCF_000012765.1,340047,1010023,0,0,0,0,0
GCF_000012785.1,320372,7308054,0,0,0,0,0
GCF_000012805.1,323261,3522111,0,0,0,0,0
GCF_000012825.1,435590,5163189,0,0,0,0,0
GCF_000012845.1,435591,4811379,0,0,0,0,0
GCF_000012865.1,246194,2401520,0,0,0,0,0
GCF_000012885.1,338963,3665893,0,0,0,0,0
GCF_000012905.2,272943,4602977,100,0,0,9,3188524
GCF_000012925.1,269799,4011182,0,0,0,0,0
GCF_000012945.1,482957,8676277,0,0,0,0,0
GCF_000012965.1,326298,2201561,0,0,0,0,0
GCF_000012985.1,349521,7215267,0,0,0,0,0
GCF_000013005.1,314225,3052398,0,0,0,0,0
GCF_000013025.1,228405,3705021,0,0,0,0,0
GCF_000013045.1,309807,3587328,0,0,0,0,0
GCF_000013065.1,361100,5506207,0,0,0,0,0
GCF_000013085.1,269796,4406557,0,0,0,0,0
GCF_000013105.1,264732,2628784,0,0,0,0,0
GCF_000013125.1,212042,1471282,0,0,0,0,0
GCF_000013145.1,205920,1176248,0,0,0,0,0
GCF_000013165.1,222891,859006,0,0,0,0,0
GCF_000013185.1,374463,686194,0,0,0,0,0
GCF_000013205.1,321327,2932766,0,0,0,0,0
GCF_000013225.1,321332,3046682,0,0,0,0,0
GCF_000013245.1,357544,1605736,0,0,0,0,0
GCF_000013265.1,364106,5179971,0,0,0,0,0
GCF_000013285.1,195103,3256683,0,0,0,0,0
GCF_000013305.1,362663,4938920,0,0,0,0,0
GCF_000013325.1,279238,4233314,0,0,0,0,0
GCF_000013345.1,106370,5433628,0,0,0,0,0
GCF_000013365.1,316058,5331656,0,0,0,0,0
GCF_000013385.1,290397,5013479,0,0,0,0,0
GCF_000013405.1,56780,3179300,0,0,0,0,0
GCF_000013425.1,93061,2821361,0,0,0,0,0
GCF_000013445.1,323259,3544738,0,0,0,0,0
GCF_000013465.1,451515,2917469,0,0,0,0,0
GCF_000013485.1,370551,1836467,0,0,0,0,0
GCF_000013505.1,370552,1928252,0,0,0,0,0
GCF_000013525.1,370553,1860355,0,0,0,0,0
GCF_000013545.1,370554,1937111,0,0,0,0,0
GCF_000013565.1,290400,4404049,0,0,0,0,0
GCF_000013585.1,373384,4574284,0,0,0,0,0
GCF_000013605.1,338969,4969784,0,0,0,0,0
GCF_000013625.1,375286,4110251,0,0,0,0,0
GCF_000013645.1,266265,9731138,0,0,0,0,0
GCF_000013665.1,203122,5057531,0,0,0,0,0
GCF_000013685.1,316057,4892717,0,0,0,0,0
GCF_000013705.1,265072,2971517,0,0,0,0,0
GCF_000013725.1,259564,2575032,0,0,0,0,0
GCF_000013745.1,316056,5513844,0,0,0,0,0
GCF_000013765.1,318161,4545906,0,0,0,0,0
GCF_000013785.1,379731,4567418,0,0,0,0,0
GCF_000013805.1,377628,4646286,0,0,0,0,0
GCF_000013825.1,360102,4879836,0,0,0,0,0
GCF_000013865.1,296591,5898676,0,0,0,0,0
GCF_000013885.1,323097,5011522,0,0,0,0,0
GCF_000013905.1,335284,3101097,0,0,0,0,0
GCF_000013945.1,355276,3931782,0,0,0,0,0
GCF_000013965.1,355277,3876235,0,0,0,0,0
GCF_000013985.1,317655,3373713,0,0,0,0,0
GCF_000014005.1,204669,5650368,0,0,0,0,0
GCF_000014025.1,367737,2341251,0,0,0,0,0
GCF_000014045.1,375451,4331234,0,0,0,0,0
GCF_000014065.1,292414,4153699,0,0,0,0,0
GCF_000014085.1,331271,7279116,0,0,0,0,0
GCF_000014105.1,374833,2153416,0,0,0,0,0
GCF_000014125.1,386415,2547720,0,0,0,0,0
GCF_000014145.1,269798,4433218,0,0,0,0,0
GCF_000014165.1,164756,5920523,0,0,0,0,0
GCF_000014185.1,266117,3225748,0,0,0,0,0
GCF_000014205.1,388919,2388435,0,0,0,0,0
GCF_000014225.1,342610,5187005,0,0,0,0,0
GCF_000014245.1,266779,4935185,0,0,0,0,0
GCF_000014265.1,203124,7750108,0,0,0,0,0
GCF_000014285.1,391165,2708355,0,0,0,0,0
GCF_000014345.1,293613,1159772,0,0,0,0,0
GCF_000014365.1,373153,2046115,0,0,0,0,0
GCF_000014385.1,203123,1780517,0,0,0,0,0
GCF_000014405.1,321956,1856951,0,0,0,0,0
GCF_000014425.1,324831,1894360,0,0,0,0,0
GCF_000014445.1,203120,2075763,0,0,0,0,0
GCF_000014465.1,387344,2340228,0,0,0,0,0
GCF_000014485.1,322159,1864178,0,0,0,0,0
GCF_000014505.1,278197,1832387,0,0,0,0,0
GCF_000014525.1,321967,2924325,0,0,0,0,0
GCF_000014545.1,272622,2598348,0,0,0,0,0
GCF_000014565.1,101510,9702737,0,0,0,0,0
GCF_000014585.1,64471,2606748,0,0,0,0,0
GCF_000014605.1,393011,1895727,0,0,0,0,0
GCF_000014625.1,208963,6537648,0,0,0,0,0
GCF_000014645.1,401614,1910031,0,0,0,0,0
GCF_000014665.1,60481,4799109,0,0,0,0,0
GCF_000014685.1,60480,4706287,0,0,0,0,0
GCF_000014705.1,318167,4845257,0,0,0,0,0
GCF_000014725.1,335541,2936195,0,0,0,0,0
GCF_000014745.1,394221,3368780,0,0,0,0,0
GCF_000014765.1,335283,2781824,0,0,0,0,0
GCF_000014785.1,187272,3275944,0,0,0,0,0
GCF_000014805.1,380703,4744448,0,0,0,0,0
GCF_000014825.1,316055,5505494,0,0,0,0,0
GCF_000014845.1,405955,5497653,0,0,0,0,0
GCF_000014865.1,156889,4719581,0,0,0,0,0
GCF_000014885.1,225849,5396476,0,0,0,0,0
GCF_000014905.1,234267,9965640,0,0,0,0,0
GCF_000014925.1,290340,5226648,0,0,0,0,0
GCF_000014965.1,335543,4990251,0,0,0,0,0
GCF_000014985.1,243243,5475491,0,0,0,0,0
GCF_000015005.1,246196,6988209,0,0,0,0,0
GCF_000015025.1,351607,2443540,0,0,0,0,0
GCF_000015045.1,338966,4241119,0,0,0,0,0
GCF_000015065.1,412694,5313030,0,0,0,0,0
GCF_000015085.1,360106,1773615,0,0,0,0,0
